37.334322,-122.047204,1393957417
37.332819,-122.054321,1393957437
37.332298,-122.058754,1393957449
37.333090,-122.062067,1393957458
37.334948,-122.032923,1393957680
37.334707,-122.034117,1393957824
37.334584,-122.035317,1393957829
37.334535,-122.037272,1393957837
37.334493,-122.039109,1393957843
37.334449,-122.041540,1393957850
37.334464,-122.044247,1393957857
37.334465,-122.040118,1393959111
37.334448,-122.042682,1393959117
37.334454,-122.043454,1393959119
37.334454,-122.043454,1393959120
37.334464,-122.044241,1393959122
37.334452,-122.045009,1393959123
37.334438,-122.045756,1393959125
37.334391,-122.046482,1393959127
37.334322,-122.047203,1393959129
37.334211,-122.047891,1393959132
37.334523,-122.038165,1393960326
37.333980,-122.048905,1393960356
37.333672,-122.050330,1393960360
37.333365,-122.051782,1393960364
37.333122,-122.052880,1393960367
37.334538,-122.036700,1393960429
37.334459,-122.040455,1393960441
37.332971,-122.053591,1393960477
37.332374,-122.056486,1393960485
37.332512,-122.060262,1393960495
37.333605,-122.063501,1393960504
37.333850,-122.064208,1393960506
37.334351,-122.069489,1393960520
37.335176,-122.032550,1393960534
37.334948,-122.032922,1393960542
37.334857,-122.033347,1393960544
37.334737,-122.033906,1393960547
37.334668,-122.034348,1393960550
37.334616,-122.034812,1393960551
37.334584,-122.035312,1393960554
37.334548,-122.035857,1393960555
37.334548,-122.036137,1393960557
37.334538,-122.036699,1393960558
